county_fips,county,population,vehicle_access,transit_dependence,road_density,veh_norm,road_norm,transit_norm,score_M,mobility_category
37129,New Hanover,228134,0.9369442360590148,0.06305576394098525,0.7179913646534901,0.7033737296733681,0.7179913646534901,0.2966262703266318,0.7082462746667421,High
37131,Northampton,17528,0.9193353879137076,0.08066461208629237,0.2703103877514261,0.5991988238441763,0.2703103877514261,0.40080117615582334,0.489569345146593,Medium
37133,Onslow,203686,0.961582334633638,0.038417665366362014,0.698060327992349,0.8491340643438526,0.698060327992349,0.150865935656147,0.7987761522266847,High
37135,Orange,145919,0.9530197716714085,0.04698022832859149,0.6394505583345622,0.7984774749470895,0.6394505583345622,0.20152252505291027,0.7454685027429138,High
37137,Pamlico,12317,0.9518518518518518,0.04814814814814815,0.21018589531441856,0.7915679976085171,0.21018589531441856,0.20843200239148255,0.5977739635104844,Medium
37139,Pasquotank,40454,0.9382700038905459,0.061729996109454024,0.4149183847849718,0.7112170444581536,0.4149183847849718,0.28878295554184596,0.6124508245670931,Medium
37141,Pender,61592,0.9690859059248431,0.030914094075156936,0.48826324572978125,0.8935256012685575,0.48826324572978125,0.1064743987314426,0.7584381494222987,High
37143,Perquimans,13053,0.9599497126436781,0.04005028735632184,0.22002627463179994,0.8394753836252015,0.22002627463179994,0.16052461637479803,0.6329923472940677,Medium
37145,Person,39131,0.9477662804386889,0.05223371956131111,0.40913108468886134,0.7673975343441093,0.40913108468886134,0.23260246565589074,0.6479753844590266,Medium
37147,Pitt,171196,0.9084584147575292,0.09154158524247086,0.6675171215404271,0.5348500575363977,0.6675171215404271,0.4651499424636024,0.5790724122044074,Medium
37149,Polk,19538,0.9633532373258401,0.036646762674159936,0.288939590774683,0.8596108212373458,0.288939590774683,0.14038917876265425,0.6693870777497914,High
37151,Randolph,144403,0.963216087594375,0.03678391240562493,0.6376162971141304,0.8587994359472932,0.6376162971141304,0.14120056405270645,0.7850717230029056,High
37153,Richmond,43149,0.8927431496537188,0.10725685034628124,0.4261502352330121,0.4418776922368233,0.4261502352330121,0.5581223077631767,0.4366352065688862,Medium
37155,Robeson,117573,0.919711119998118,0.08028888000188196,0.6015293950499863,0.6014216753440285,0.6015293950499863,0.3985783246559714,0.6014575819126811,Medium
37157,Rockingham,91209,0.9296822526478946,0.0703177473521054,0.5569969426403497,0.6604114398209106,0.5569969426403497,0.3395885601790893,0.6259399407607236,Medium
37159,Rowan,147067,0.9407432265357307,0.059256773464269316,0.6408269714173688,0.7258487644906427,0.6408269714173688,0.27415123550935727,0.6975081667995513,High
37161,Rutherford,64680,0.9395957827427397,0.060404217257260306,0.49681708355825677,0.71906042444178,0.49681708355825677,0.2809395755582198,0.644979310813939,Medium
37163,Sampson,59317,0.9486328581444262,0.051367141855573735,0.48168473784188676,0.7725242553052936,0.48168473784188676,0.22747574469470588,0.6755777494841582,High
37165,Scotland,34222,0.8853893979057592,0.11461060209424084,0.38582560159154095,0.3983724958995428,0.38582560159154095,0.6016275041004573,0.3941901977968755,Medium
37167,Stanly,62723,0.9461574054599756,0.0538425945400244,0.49144453151090156,0.7578793422389051,0.49144453151090156,0.24212065776109484,0.6690677386629039,High
37169,Stokes,44696,0.9722529352919497,0.027747064708050335,0.4322883155179453,0.9122619197008643,0.4322883155179453,0.08773808029913552,0.752270718306558,High
37171,Surry,71429,0.9488444291134874,0.05115557088651259,0.5141813299309057,0.7737759206951174,0.5141813299309057,0.22622407930488256,0.6872443904403801,High
37173,Swain,14130,0.9113300492610837,0.08866995073891626,0.23350259632596748,0.5518388038481987,0.23350259632596748,0.448161196151801,0.4457267346741217,Medium
37175,Transylvania,33131,0.9543649411272904,0.045635058872709536,0.38019913945761546,0.8064355707994948,0.38019913945761546,0.19356442920050468,0.6643567603522018,High
37177,Tyrrell,3389,0.923760177646188,0.07623982235381199,0.0,0.6253761211830693,0.0,0.37462387881693043,0.41691741412204625,Medium
37179,Union,240109,0.9725305527525507,0.027469447247449267,0.7269884817208871,0.9139043197361194,0.7269884817208871,0.08609568026388034,0.8515990403977087,High
37181,Vance,42492,0.9219748185821497,0.07802518141785028,0.4234773421725335,0.6148138396054947,0.4234773421725335,0.3851861603945048,0.5510350071278411,Medium
37183,Wake,1132103,0.9604596547711134,0.039540345228886616,1.0,0.842492229057994,1.0,0.1575077709420058,0.8949948193719959,High
37185,Warren,18803,0.8964350767629456,0.10356492323705438,0.2823535589171048,0.46371933433392126,0.2823535589171048,0.5362806656660787,0.4032640758616491,Medium
37187,Washington,11051,0.8180518684909128,0.1819481315090872,0.19185699683932259,0.0,0.19185699683932259,1.0,0.06395233227977419,Low
37189,Watauga,54540,0.9662168538265546,0.033783146173445314,0.46701643998455744,0.8765521326071277,0.46701643998455744,0.12344786739287178,0.740040235066271,High
37191,Wayne,117480,0.9295618650024495,0.07043813499755053,0.6013905262149009,0.6596992199457802,0.6013905262149009,0.3403007800542199,0.6402629887021537,Medium
37193,Wilkes,66125,0.942713494073177,0.057286505926823,0.5006815069973771,0.7375049746798636,0.5006815069973771,0.26249502532013586,0.6585638187857016,Medium
37195,Wilson,78667,0.9080125127760399,0.09198748722396011,0.5310791034044074,0.5322120770990981,0.5310791034044074,0.4677879229009016,0.5318344192008679,Medium
37197,Yadkin,37280,0.954006734006734,0.045993265993265996,0.4007012729311872,0.8043163979414303,0.4007012729311872,0.19568360205856927,0.669778022938016,High
37199,Yancey,18538,0.9582644102303092,0.0417355897696908,0.2799173153833345,0.8295050426490254,0.2799173153833345,0.17049495735097428,0.6463091335604618,Medium
